txn_id,customer_id,amount,txn_type,city,txn_date,status,is_fraud
TXN-00571,CUST-542,8989.41,Card,Mumbai,2024-03-29,SUCCESS,false
TXN-10049,CUST-319,1069.76,Wallet,Kolkata,2024-04-12,PENDING,false
TXN-10037,CUST-152,29316.92,UPI,Delhi,2024-04-04,SUCCESS,false
TXN-00460,CUST-325,7685.14,Card,Delhi,2024-01-02,SUCCESS,false
TXN-00414,CUST-282,14724.8,UPI,Delhi,2024-03-26,SUCCESS,false
TXN-10075,CUST-389,29935.19,Card,Pune,2024-04-12,SUCCESS,false
TXN-10016,CUST-563,20371.26,Wallet,Bangalore,2024-04-04,FAILED,false
TXN-10011,CUST-383,26739.02,UPI,Bangalore,2024-04-08,SUCCESS,false
TXN-10093,CUST-446,4768.74,UPI,Kolkata,2024-04-06,SUCCESS,false
TXN-10073,CUST-234,28255.43,UPI,Bhopal,2024-04-15,SUCCESS,false
TXN-10060,CUST-482,34567.15,UPI,Delhi,2024-04-04,SUCCESS,false
TXN-10012,CUST-480,10536.79,Card,Delhi,2024-04-14,SUCCESS,false
TXN-10039,CUST-385,27142.84,UPI,Mumbai,2024-04-11,PENDING,false
TXN-00760,CUST-411,4956.78,UPI,Pune,2024-01-30,SUCCESS,false
TXN-10081,CUST-262,4174.18,Wallet,Hyderabad,2024-04-11,SUCCESS,false
TXN-10087,CUST-347,2239.9,UPI,Kolkata,2024-04-09,SUCCESS,false
TXN-00851,CUST-444,1697.72,Card,Hyderabad,2024-03-25,SUCCESS,false
TXN-00027,CUST-482,5388.54,Wallet,Chennai,2024-02-26,SUCCESS,false
TXN-10027,CUST-503,34907.98,UPI,Bhopal,2024-04-15,SUCCESS,false
TXN-10054,CUST-187,25738.92,Wallet,Jaipur,2024-04-05,PENDING,false
TXN-00319,CUST-237,12612.11,UPI,Bangalore,2024-01-14,SUCCESS,false
TXN-10047,CUST-221,24429.27,Wallet,Ahmedabad,2024-04-05,PENDING,false
TXN-10072,CUST-288,32335.79,Wallet,Mumbai,2024-04-13,SUCCESS,false
TXN-10034,CUST-139,17317.49,UPI,Bhopal,2024-04-10,SUCCESS,false
TXN-10018,CUST-482,19613.01,Card,Chandigarh,2024-04-10,FAILED,false
TXN-10065,CUST-318,29219.74,Wallet,Hyderabad,2024-04-01,SUCCESS,false
TXN-10096,CUST-228,22775.74,UPI,Delhi,2024-04-03,SUCCESS,false
TXN-00322,CUST-159,6159.38,UPI,Delhi,2024-02-03,SUCCESS,false
TXN-10058,CUST-597,22788.24,UPI,Jaipur,2024-04-08,SUCCESS,false
TXN-00658,CUST-557,10331.01,UPI,Ahmedabad,2024-01-25,SUCCESS,false
TXN-00132,CUST-492,4385.25,UPI,Delhi,2024-03-18,SUCCESS,false
TXN-10026,CUST-431,17690.14,Wallet,Lucknow,2024-04-09,FAILED,false
TXN-10038,CUST-129,5506.21,Card,Kochi,2024-04-01,SUCCESS,false
TXN-10061,CUST-165,17366.71,Card,Ahmedabad,2024-04-12,FAILED,false
TXN-00364,CUST-426,10806.25,Wallet,Chennai,2024-01-02,SUCCESS,false
TXN-10029,CUST-567,16765.04,UPI,Indore,2024-04-03,FAILED,false
TXN-10085,CUST-265,25371.13,Card,Bhopal,2024-04-03,SUCCESS,false
TXN-10022,CUST-413,33122.02,Card,Surat,2024-04-12,SUCCESS,false
TXN-10041,CUST-598,17458.08,UPI,Jaipur,2024-04-01,SUCCESS,false
TXN-10094,CUST-217,2154.14,Wallet,Chandigarh,2024-04-01,SUCCESS,false
TXN-10008,CUST-590,13923.53,UPI,Kochi,2024-04-15,SUCCESS,false
TXN-10076,CUST-502,829.42,UPI,Mumbai,2024-04-07,SUCCESS,false
TXN-10001,CUST-340,32751.54,UPI,Chandigarh,2024-04-04,SUCCESS,false
TXN-10007,CUST-109,29401.94,UPI,Kolkata,2024-04-11,SUCCESS,false
TXN-10051,CUST-392,13234.86,UPI,Kolkata,2024-04-05,FAILED,false
TXN-00220,CUST-142,13306.28,UPI,Hyderabad,2024-01-07,SUCCESS,false
TXN-10005,CUST-154,8273.94,UPI,Delhi,2024-04-11,SUCCESS,false
TXN-10004,CUST-213,17456.12,UPI,Bhopal,2024-04-10,SUCCESS,false
TXN-00741,CUST-128,14356.44,Card,Mumbai,2024-03-07,SUCCESS,false
TXN-00990,CUST-277,5598.17,UPI,Chennai,2024-01-25,SUCCESS,false
TXN-10062,CUST-193,1895.71,Wallet,Kochi,2024-04-14,SUCCESS,false
TXN-10064,CUST-419,9461.94,UPI,Mumbai,2024-04-02,FAILED,false
TXN-10046,CUST-165,25940.5,Card,Hyderabad,2024-04-13,FAILED,false
TXN-10033,CUST-571,12833.57,UPI,Mumbai,2024-04-02,SUCCESS,false
TXN-10063,CUST-477,31995.42,UPI,Indore,2024-04-11,SUCCESS,false
TXN-10019,CUST-599,34429.13,UPI,Chandigarh,2024-04-02,SUCCESS,false
TXN-10099,CUST-124,30421.69,UPI,Chandigarh,2024-04-04,SUCCESS,false
TXN-10074,CUST-407,33374.69,Card,Surat,2024-04-13,FAILED,false
TXN-00069,CUST-354,5367.05,UPI,Ahmedabad,2024-03-12,SUCCESS,false
TXN-10084,CUST-301,20799.72,Card,Mumbai,2024-04-11,FAILED,false
TXN-10050,CUST-529,30725.98,UPI,Kochi,2024-04-10,SUCCESS,false
TXN-10023,CUST-558,30790.78,UPI,Chennai,2024-04-07,SUCCESS,false
TXN-10088,CUST-504,21723.28,UPI,Kolkata,2024-04-11,SUCCESS,false
TXN-10097,CUST-395,30623.68,Card,Bangalore,2024-04-13,SUCCESS,false
TXN-00921,CUST-198,8678.77,UPI,Bangalore,2024-01-13,SUCCESS,false
TXN-10077,CUST-164,27166.13,UPI,Bhopal,2024-04-03,SUCCESS,false
TXN-10036,CUST-273,12399.02,Card,Mumbai,2024-04-10,SUCCESS,false
TXN-10066,CUST-542,21543.12,UPI,Kochi,2024-04-11,SUCCESS,false
TXN-00170,CUST-164,18010.87,UPI,Hyderabad,2024-02-28,SUCCESS,false
TXN-10003,CUST-316,13504.74,UPI,Hyderabad,2024-04-10,SUCCESS,false
TXN-10071,CUST-139,17273.96,Wallet,Ahmedabad,2024-04-03,SUCCESS,false
TXN-00276,CUST-235,12451.86,UPI,Mumbai,2024-02-09,SUCCESS,false
TXN-10053,CUST-371,14929.74,UPI,Pune,2024-04-13,SUCCESS,false
TXN-10048,CUST-183,21294.69,UPI,Kochi,2024-04-06,FAILED,false
TXN-10067,CUST-480,22964.71,UPI,Bhopal,2024-04-04,SUCCESS,false
TXN-10045,CUST-259,25200.85,Card,Chennai,2024-04-12,SUCCESS,false
TXN-10080,CUST-548,5846.16,UPI,Kochi,2024-04-09,FAILED,false
TXN-10059,CUST-296,4595.21,UPI,Indore,2024-04-03,FAILED,false
TXN-00601,CUST-222,13668.56,Card,Mumbai,2024-03-14,SUCCESS,false
TXN-10091,CUST-352,7410.98,UPI,Lucknow,2024-04-13,SUCCESS,false
